epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,329.393,0.54964,0.73477,0.63613,0.00959,0.09908,0.99135,0.99243,0.99468,0.98346,0.99135,0.99243,0.99468,0.91988,0.21826,0.4916,0.08772,0.00682,0,0.00332785,0.00332785,0.0700493
2,663.173,0.5329,0.70668,0.49798,0.00895,0.08824,0.92279,0.82943,0.92057,0.61218,0.86066,0.7648,0.82565,0.61076,1.29559,1.51943,0.85643,0.0467,0,0.00656698,0.00656698,0.0399551
3,996.655,0.60219,0.72353,0.52742,0.01013,0.09184,0.95707,0.95837,0.98535,0.83808,0.94435,0.94629,0.96554,0.83963,0.67287,0.87265,0.35034,0.02247,0,0.00971182,0.00971182,0.00976664
4,1331.55,0.61998,0.7476,0.56989,0.01039,0.10015,0.99106,0.98879,0.99468,0.94912,0.97786,0.97561,0.98119,0.87762,0.34356,0.64935,0.26076,0.01104,0,0.00957571,0.00957571,0.00957571
5,1663.42,0.60503,0.74288,0.56403,0.01015,0.09967,0.85856,0.79305,0.86769,0.53663,0.85899,0.79093,0.86299,0.66027,1.61911,1.19026,1.06994,0.06343,0,0.00943429,0.00943429,0.00943429
6,1995.96,0.59012,0.73819,0.56115,0.00987,0.09922,0.99082,0.98605,0.99464,0.94747,0.99082,0.98605,0.99464,0.92381,0.35681,0.51047,0.13118,0.01144,0,0.00929286,0.00929286,0.00929286
7,2328.7,0.57627,0.73326,0.55148,0.00962,0.09775,0.9873,0.98964,0.9946,0.96738,0.9873,0.98964,0.9946,0.93788,0.29498,0.41392,0.11876,0.0097,0,0.00915143,0.00915143,0.00915143
8,2660.82,0.57357,0.73065,0.54886,0.00962,0.09737,0.99063,0.99235,0.99464,0.98446,0.99063,0.99235,0.99464,0.93542,0.21812,0.40275,0.11003,0.00689,0,0.00901,0.00901,0.00901
9,2993.59,0.56431,0.72865,0.54069,0.00946,0.09739,0.99586,0.9956,0.99499,0.98111,0.99586,0.9956,0.99499,0.94163,0.23972,0.40076,0.08919,0.00776,0,0.00886857,0.00886857,0.00886857
10,3327.26,0.55888,0.7227,0.53269,0.00939,0.09561,0.98357,0.98734,0.99423,0.98679,0.98357,0.98734,0.99423,0.93925,0.21186,0.39993,0.1014,0.00669,0,0.00872714,0.00872714,0.00872714
11,3659.71,0.55371,0.71498,0.52034,0.0093,0.09325,0.99501,0.99285,0.99493,0.98831,0.99501,0.99285,0.99493,0.9386,0.20111,0.39651,0.07859,0.00634,0,0.00858571,0.00858571,0.00858571
12,3993.61,0.54863,0.71441,0.52194,0.00919,0.09469,0.9829,0.98928,0.99464,0.98776,0.9829,0.98928,0.99464,0.94106,0.2018,0.39012,0.1064,0.00648,0,0.00844429,0.00844429,0.00844429
13,4328.92,0.54185,0.71864,0.51695,0.00906,0.09388,0.99421,0.99232,0.99471,0.98707,0.99421,0.99232,0.99471,0.94096,0.20027,0.3966,0.08574,0.00631,0,0.00830286,0.00830286,0.00830286
14,4661.14,0.5364,0.71179,0.50886,0.00898,0.09206,0.99275,0.99194,0.99465,0.98986,0.99275,0.99194,0.99465,0.94407,0.18902,0.38717,0.08229,0.00596,0,0.00816143,0.00816143,0.00816143
15,4992.96,0.53561,0.7079,0.50407,0.00894,0.0918,0.98498,0.98582,0.99454,0.98985,0.98498,0.98582,0.99454,0.94321,0.19287,0.38959,0.09496,0.00612,0,0.00802,0.00802,0.00802
16,5325.51,0.53202,0.70912,0.49975,0.00886,0.09096,0.99314,0.99486,0.99488,0.99002,0.99314,0.99486,0.99488,0.94413,0.19546,0.38429,0.08155,0.00629,0,0.00787857,0.00787857,0.00787857
17,5656.71,0.52757,0.71066,0.49017,0.0088,0.08924,0.99063,0.98879,0.99471,0.99085,0.99063,0.98879,0.99471,0.94523,0.17712,0.38525,0.09007,0.0055,0,0.00773714,0.00773714,0.00773714
18,5991.36,0.5241,0.70091,0.48647,0.00874,0.08905,0.98826,0.98938,0.99426,0.9913,0.98826,0.98938,0.99426,0.94346,0.17573,0.38454,0.09501,0.00556,0,0.00759571,0.00759571,0.00759571
19,6328.02,0.52216,0.69803,0.47972,0.00869,0.08854,0.99602,0.99704,0.99495,0.99156,0.99602,0.99704,0.99495,0.94667,0.17054,0.38156,0.06803,0.00527,0,0.00745429,0.00745429,0.00745429
20,6667.44,0.52266,0.69837,0.47423,0.00869,0.0871,0.998,0.99596,0.995,0.99226,0.998,0.99596,0.995,0.9476,0.16417,0.38084,0.06253,0.00506,0,0.00731286,0.00731286,0.00731286
21,7005.68,0.51666,0.70142,0.47754,0.00863,0.08926,0.99533,0.99642,0.99496,0.99199,0.99533,0.99642,0.99496,0.94657,0.1675,0.38022,0.06775,0.00519,0,0.00717143,0.00717143,0.00717143
22,7337.81,0.5124,0.69192,0.47001,0.00851,0.08543,0.99398,0.99225,0.99485,0.99208,0.99398,0.99225,0.99485,0.94688,0.16798,0.37876,0.07442,0.00525,0,0.00703,0.00703,0.00703
23,7671.41,0.51037,0.69828,0.4633,0.00846,0.08608,0.99517,0.99492,0.99489,0.99176,0.99517,0.99492,0.99489,0.94653,0.17219,0.379,0.07226,0.00542,0,0.00688857,0.00688857,0.00688857
24,8007.07,0.50391,0.68878,0.45251,0.00835,0.08439,0.99529,0.99544,0.99492,0.99215,0.99529,0.99544,0.99492,0.9469,0.16675,0.37864,0.06963,0.00522,0,0.00674714,0.00674714,0.00674714
25,8340.87,0.50435,0.7004,0.4568,0.00841,0.08634,0.99601,0.99314,0.99488,0.99222,0.99601,0.99314,0.99488,0.9476,0.16619,0.37798,0.07048,0.00522,0,0.00660571,0.00660571,0.00660571
26,8672.96,0.50414,0.68775,0.44736,0.00842,0.08314,0.99608,0.99422,0.99492,0.99218,0.99608,0.99422,0.99492,0.94786,0.16671,0.37752,0.06958,0.00523,0,0.00646429,0.00646429,0.00646429
27,9005.03,0.49706,0.68204,0.43852,0.00822,0.08105,0.99377,0.9959,0.99496,0.99202,0.99377,0.9959,0.99496,0.94832,0.16759,0.37691,0.07027,0.00527,0,0.00632286,0.00632286,0.00632286
28,9336.82,0.4934,0.68202,0.43587,0.00816,0.08145,0.99649,0.99493,0.99496,0.99208,0.99649,0.99493,0.99496,0.94845,0.16848,0.37663,0.0697,0.0053,0,0.00618143,0.00618143,0.00618143
29,9670.01,0.48636,0.67673,0.42748,0.00806,0.07868,0.99711,0.99536,0.99497,0.99212,0.99711,0.99536,0.99497,0.94828,0.1665,0.37617,0.06863,0.00523,0,0.00604,0.00604,0.00604
30,10001.1,0.48607,0.67387,0.42955,0.00804,0.07875,0.99682,0.9963,0.99499,0.99215,0.99682,0.9963,0.99499,0.94862,0.16822,0.3758,0.06803,0.00529,0,0.00589857,0.00589857,0.00589857
31,10331.4,0.48616,0.68242,0.42905,0.00804,0.07964,0.99538,0.99541,0.99497,0.99229,0.99538,0.99541,0.99497,0.94886,0.16745,0.37557,0.07001,0.00526,0,0.00575714,0.00575714,0.00575714
32,10665.3,0.48278,0.67736,0.41818,0.00792,0.07772,0.99583,0.99467,0.99496,0.9923,0.99583,0.99467,0.99496,0.94914,0.16726,0.37524,0.07107,0.00526,0,0.00561571,0.00561571,0.00561571
33,10999.2,0.47589,0.66761,0.41591,0.00782,0.077,0.99601,0.99393,0.99496,0.9923,0.99601,0.99393,0.99496,0.94924,0.16588,0.37501,0.07078,0.00521,0,0.00547429,0.00547429,0.00547429
34,11340,0.4803,0.67693,0.41444,0.00791,0.07634,0.99603,0.99516,0.99497,0.99225,0.99603,0.99516,0.99497,0.94931,0.16548,0.37471,0.07053,0.00518,0,0.00533286,0.00533286,0.00533286
35,11679.9,0.47194,0.67113,0.40683,0.00776,0.07567,0.99536,0.99437,0.99495,0.99233,0.99536,0.99437,0.99495,0.9493,0.16485,0.37456,0.07393,0.00516,0,0.00519143,0.00519143,0.00519143
36,12019.6,0.46887,0.66405,0.40063,0.00769,0.07331,0.99451,0.99483,0.99494,0.99217,0.99451,0.99483,0.99494,0.94941,0.16665,0.37438,0.07276,0.00522,0,0.00505,0.00505,0.00505
37,12359.3,0.4694,0.66741,0.40436,0.00771,0.07534,0.99498,0.99486,0.99495,0.99216,0.99498,0.99486,0.99495,0.94961,0.16723,0.37404,0.07316,0.00524,0,0.00490857,0.00490857,0.00490857
38,12698.9,0.46496,0.65995,0.39553,0.00761,0.07295,0.99643,0.99439,0.99495,0.99219,0.99643,0.99439,0.99495,0.94973,0.1657,0.37387,0.07058,0.00519,0,0.00476714,0.00476714,0.00476714
39,13039.5,0.4611,0.65973,0.38929,0.00756,0.07196,0.99628,0.99617,0.99496,0.9923,0.99628,0.99617,0.99496,0.94978,0.16606,0.37368,0.07023,0.0052,0,0.00462571,0.00462571,0.00462571
40,13378.7,0.46014,0.65796,0.38649,0.00753,0.07111,0.99591,0.99538,0.99494,0.99202,0.99591,0.99538,0.99494,0.94983,0.16582,0.37351,0.07086,0.00518,0,0.00448429,0.00448429,0.00448429
41,13717.9,0.45686,0.65766,0.38631,0.00743,0.07069,0.99596,0.99713,0.99494,0.99212,0.99596,0.99713,0.99494,0.94997,0.16571,0.37325,0.06855,0.00517,0,0.00434286,0.00434286,0.00434286
42,14057.1,0.45392,0.65267,0.3815,0.00741,0.06942,0.99647,0.99562,0.99496,0.99198,0.99647,0.99562,0.99496,0.95,0.16652,0.37311,0.07145,0.00519,0,0.00420143,0.00420143,0.00420143
43,14396.9,0.44725,0.64668,0.36786,0.00729,0.06764,0.99573,0.99636,0.99496,0.99202,0.99573,0.99636,0.99496,0.95004,0.16565,0.3729,0.07182,0.00515,0,0.00406,0.00406,0.00406
44,14736.5,0.44588,0.64782,0.36868,0.00725,0.06784,0.99597,0.99538,0.99498,0.99202,0.99597,0.99538,0.99498,0.95017,0.16699,0.37275,0.07335,0.00521,0,0.00391857,0.00391857,0.00391857
45,15075.2,0.44456,0.65181,0.37328,0.00723,0.0685,0.99651,0.99594,0.99495,0.99196,0.99651,0.99594,0.99495,0.95014,0.16731,0.37256,0.07024,0.00522,0,0.00377714,0.00377714,0.00377714
46,15414.5,0.43971,0.64399,0.35798,0.0071,0.06679,0.99686,0.99533,0.99496,0.99193,0.99686,0.99533,0.99496,0.94996,0.16808,0.37232,0.0708,0.00525,0,0.00363571,0.00363571,0.00363571
47,15754.8,0.43783,0.63917,0.35297,0.00707,0.06454,0.99557,0.99618,0.99498,0.99179,0.99557,0.99618,0.99498,0.95,0.16881,0.37213,0.07024,0.00527,0,0.00349429,0.00349429,0.00349429
48,16094,0.43685,0.645,0.35489,0.00705,0.06547,0.99585,0.99605,0.99498,0.99155,0.99585,0.99605,0.99498,0.94977,0.17023,0.37199,0.07132,0.00532,0,0.00335286,0.00335286,0.00335286
49,16434.8,0.42945,0.63669,0.3458,0.0069,0.06381,0.99525,0.99673,0.99496,0.99138,0.99525,0.99673,0.99496,0.94991,0.17042,0.37183,0.07134,0.00534,0,0.00321143,0.00321143,0.00321143
50,16774.4,0.42724,0.63418,0.3435,0.00686,0.06368,0.99711,0.99539,0.99498,0.99097,0.99711,0.99539,0.99498,0.95005,0.1722,0.37178,0.07195,0.0054,0,0.00307,0.00307,0.00307
51,17115.2,0.4234,0.63821,0.34047,0.00679,0.06282,0.99617,0.99539,0.99495,0.99093,0.99617,0.99539,0.99495,0.95024,0.1721,0.37156,0.06997,0.0054,0,0.00292857,0.00292857,0.00292857
52,17449,0.42083,0.62621,0.32974,0.00673,0.06066,0.99722,0.99494,0.99496,0.99061,0.99722,0.99494,0.99496,0.95024,0.17341,0.37147,0.06976,0.00544,0,0.00278714,0.00278714,0.00278714
53,17782.4,0.41502,0.62557,0.32651,0.00665,0.06051,0.9947,0.99631,0.99494,0.9905,0.9947,0.99631,0.99494,0.95006,0.17458,0.37128,0.07066,0.00547,0,0.00264571,0.00264571,0.00264571
54,18114.4,0.41284,0.62323,0.31995,0.00661,0.05952,0.9969,0.99513,0.99495,0.99027,0.9969,0.99513,0.99495,0.95013,0.17623,0.37108,0.06996,0.00553,0,0.00250429,0.00250429,0.00250429
55,18446.6,0.41183,0.62655,0.3138,0.00652,0.05824,0.99505,0.99566,0.99496,0.99002,0.99505,0.99566,0.99496,0.95,0.17848,0.37104,0.07122,0.00561,0,0.00236286,0.00236286,0.00236286
56,18780.3,0.40785,0.62466,0.31373,0.00649,0.05898,0.99624,0.99672,0.99496,0.98988,0.99624,0.99672,0.99496,0.95,0.18047,0.37092,0.07064,0.0057,0,0.00222143,0.00222143,0.00222143
57,19116.3,0.40645,0.61994,0.31208,0.00646,0.05807,0.99535,0.99738,0.99494,0.98981,0.99535,0.99738,0.99494,0.95012,0.18129,0.37073,0.07103,0.00572,0,0.00208,0.00208,0.00208
58,19449.4,0.40371,0.61857,0.30483,0.00639,0.05685,0.99661,0.99582,0.99495,0.98967,0.99661,0.99582,0.99495,0.95024,0.1829,0.37063,0.07095,0.00578,0,0.00193857,0.00193857,0.00193857
59,19783.3,0.3974,0.61303,0.29973,0.0063,0.05691,0.99498,0.99697,0.99494,0.98965,0.99498,0.99697,0.99494,0.95025,0.18362,0.37062,0.07119,0.0058,0,0.00179714,0.00179714,0.00179714
60,20118.6,0.39343,0.60926,0.28928,0.0062,0.05486,0.99681,0.99538,0.99494,0.98968,0.99681,0.99538,0.99494,0.95028,0.18441,0.37051,0.07128,0.00583,0,0.00165571,0.00165571,0.00165571
61,20450,0.17112,0.38244,0.06763,0.00603,0.00826,0.9971,0.99607,0.99497,0.98969,0.9971,0.99607,0.99497,0.95043,0.18502,0.37017,0.07015,0.00584,0,0.00151429,0.00151429,0.00151429
62,20780.6,0.15823,0.37849,0.06186,0.00551,0.00738,0.99685,0.99646,0.99499,0.98935,0.99685,0.99646,0.99499,0.95085,0.1863,0.36975,0.0697,0.00587,0,0.00137286,0.00137286,0.00137286
63,21112,0.15393,0.37645,0.05611,0.00534,0.00727,0.99683,0.99705,0.99498,0.9891,0.99683,0.99705,0.99498,0.9509,0.18784,0.36931,0.06947,0.0059,0,0.00123143,0.00123143,0.00123143
64,21440.7,0.14762,0.3746,0.0533,0.00509,0.00706,0.99753,0.99562,0.99497,0.9885,0.99753,0.99562,0.99497,0.95143,0.19109,0.3688,0.07147,0.006,0,0.00109,0.00109,0.00109
